id,@template,text
126,"templates/card.html","To what do you attribute to your success?"
127,"templates/card.html","Have you named your genitals?"
128,"templates/card.html","Who is your alter ego?"
129,"templates/card.html","How do you predict you will die?"
130,"templates/card.html","How old do you feel?"
131,"templates/card.html","What's your greatest failure?"
132,"templates/card.html","What is the worst thing anyone has ever done to you?"
133,"templates/card.html","What are your most prized possessions?"
134,"templates/card.html","Whats your boring superpower?"
135,"templates/card.html","A woman rapes a man and becomes pregnant. Would you support a law that gives the man the right to force termination of the pregnancy?"
136,"templates/card.html","Do you view 'social justice warriors' and 'the alt-right' as roughly equivalent in extremism, just on opposite sides?"
137,"templates/card.html","Are there any things on a dating profile that you agree with or also like, but find a turnoff that they listed it?"
138,"templates/card.html","How do you personally know when something is immoral?"
139,"templates/card.html","Have you ever dated someone who you felt was below your standards?"
140,"templates/card.html","If you had to name one thing you want that drives all your other wants, what would it be?"
141,"templates/card.html","What's a lie you wish you could stop telling yourself?"
142,"templates/card.html","Which is more accurate for you: I do things so that I can make money; or, I make money so that I can do things?"
143,"templates/card.html","What's the best thing someone could know about you that might help them?"
144,"templates/card.html","Would you rather be in the top 1% of wealth bracket in 1530, or the bottom 10% of wealth bracket in a modern-day town or city?"
145,"templates/card.html","You have a piece of art you really like hanging in your living room. One day you learn the artist has been convicted for rape. What do you do with the art piece?"
146,"templates/card.html","Would you rather lose the ability to sing or to swear?"
147,"templates/card.html","Would you rather drown a puppy or have everyone think you drowned a puppy?"
148,"templates/card.html","Can rape jokes ever be funny?"
149,"templates/card.html","Do you believe plants can feel pain?"
150,"templates/card.html","How susceptible are you to being brainwashed?"
151,"templates/card.html","How did your parents discipline you when you were a child?"
152,"templates/card.html","What was your greatest sacrifice?"
153,"templates/card.html","Would you press a button that doubled your IQ?"
154,"templates/card.html","Would you stomp a puppy to death to save a terminally ill child with < 6 months to live?"
155,"templates/card.html","Do you have someone you feel comfortable talking to about everything?"
156,"templates/card.html","If you had to name one thing you think others envy about you, what would it be?"
157,"templates/card.html","Is sex really about power?"
158,"templates/card.html","What's your relationship to buttplugs?"
159,"templates/card.html","Would you be willing to show your browsing history to everybody present? What if this didn't include porn?"
160,"templates/card.html","Would you date a prostitute?"
161,"templates/card.html","Would you rather change genders every time you sneeze, or be unable to tell the difference between babies and muffins?"
162,"templates/card.html","Would you rather lick someone else's butthole or your own butthole?"
163,"templates/card.html","Would you rather live a life where you are convinced you're doing good but really you're hurting the world, or a life where you're helping the world but you're convinced that you're failing to do so and actually hurting it?"
164,"templates/card.html","Would you rather your life be ended by yourself or others?"
165,"templates/card.html","Would you rather date a kind person with the exact opposite of your political views, or an unkind person who strongly agrees with your views?"
166,"templates/card.html","Assuming legality isn't an issue and all parties are informed and consenting, would you rather have sex with a 15 year old or a 50 year old?"
167,"templates/card.html","Do you have any enemies? If not, who is the closest to being your enemy?"
168,"templates/card.html","How do you know when someone is empathizing with you?"
169,"templates/card.html","If you woke up to an incredibly physically attractive stranger of your desired sex performing oral on you (without asking), would you feel positively or negatively?"
170,"templates/card.html","Should male circumcision be legal?"
171,"templates/card.html","You have the option of moving to one of two cities. In Omelas, 99% of people have 10/10 life quality, while the remaining 1% have 0/10 life quality. In Bergeron, everyone has 5/10 life quality. Which city do you move to?"
172,"templates/card.html","You're in a monogamous relationship. Your partner gets back late and says ""Honey, I just had sex with the new lifelike sex robot."" Is this cheating?"
173,"templates/card.html","A woman says she's on birth control, and she has sex with a man without a condom. But she was lying — she was not on birth control. Is this rape?"
174,"templates/card.html","Are you more concerned with improving the world or improving yourself?"
175,"templates/card.html","Do you consider 'being at peace' to be the same thing as 'being happy'?"
176,"templates/card.html","Do you have any political or social opinions that you’re afraid to express out loud to your friends?"
177,"templates/card.html","Given the chance, would you fuck God given He won't judge you for it?"
178,"templates/card.html","Have you ever woke up from a dream, crying? What was the dream?"
179,"templates/card.html","Have you had enough sex this year?"
180,"templates/card.html","When was the last time you masturbated?"
181,"templates/card.html","Have you masturbated within the last week to someone you know personally, and also would feel uncomfortable telling them about it?"
182,"templates/card.html","How do you feel superior to other people?"
183,"templates/card.html","How do you treat yourself differently from the way you treat others?"
184,"templates/card.html","How much control do you feel you have over your own emotions?"
185,"templates/card.html","How often do you feel fear in your life?"
186,"templates/card.html","How often do you feel pleased at others' misfortunes?"
187,"templates/card.html","If all sexism were magically and totally eliminated, would gender ratio of all jobs, ideologies, and communities reach 50/50?"
188,"templates/card.html","If there were a way to painlessly and permanently alter the thoughts of a person you know, who and what would you change?"
189,"templates/card.html","If you had a little teleportation portal, would you fuck yourself in the ass?"
190,"templates/card.html","If you press the button, America gets to elect the primary rulers for every other nation in the world — and the rest of the world collectively elects America's next president. Do you press the button?"
191,"templates/card.html","If you press the button, you enter a magical, permanent state where everything you want is automatically granted right before the want hits your conscious awareness. Besides ""you can't enter a state of desire"" or ""suicide,"" there are no limits in fulfilling what you want. Do you press the button?"
192,"templates/card.html","Is it easier for you to love or hate?"
193,"templates/card.html","Is there any kind of job or employment position in which it should be legal for an employee to refuse to serve a customer based on gender?"
194,"templates/card.html","Is there anyone whose life you value above your own?"
195,"templates/card.html","List the people listening to you answer this question in the order they would die in the apocalypse"
196,"templates/card.html","On an instinctual level, do you think of humans as part of nature or separate from nature?"
197,"templates/card.html","Regardless of how much you personally approve, would you be comfortable having a serious relationship with an active pornstar?"
198,"templates/card.html","Should people be allowed to sell themselves into slavery, given they are not coerced into the decision, and given full information about what it entails?"
199,"templates/card.html","There is a button before you. If you press it, the entire world loses the enchantment it feels when looking at super beautiful faces. Everyone can still see and recognize faces, but all faces feel equally attractive. Would you press the button?"
200,"templates/card.html","What grudges do you hold?"
201,"templates/card.html","What in your experience does language fail to capture?"
202,"templates/card.html","What is the most insidious ideology surrounding you in life?"
203,"templates/card.html","What vicious cycles do you find yourself in?"
204,"templates/card.html","What was your darkest night?"
205,"templates/card.html","What was your worst habit in your worst relationship?"
206,"templates/card.html","What's died in you?"
207,"templates/card.html","When was the last time you felt fear?"
208,"templates/card.html","When you feel an emotion, how often does it involve a physical bodily sensation in addition to a mental state?"
209,"templates/card.html","Where do you find fulfillment in your life?"
210,"templates/card.html","Which life lessons that you've learned would be most important for the people in this room to hear?"
211,"templates/card.html","What is the greatest current existential threat to humanity?"
212,"templates/card.html","Which race, generally speaking, has experienced greater oppression — blacks or jews?"
213,"templates/card.html","You find out your crush messages people more boring/ugly/dumb than you on dating sites. Does this reduce your attraction to them?"
214,"templates/card.html","You wake up in a body of the opposite sex. It takes years, but you eventually learn to operate in this body — how to navigate romantic/sexual dynamics and social expectations — about as well as people naturally born into this body. Do you predict you'd feel dysphoria?"
215,"templates/card.html","How often do you think about your own death?"
216,"templates/card.html","Have you ever had a plant that you really cared about?"
217,"templates/card.html","Who thinks you're dumb?"
218,"templates/card.html","""Women are oversexualized in media and this should be stopped."" Agree or disagree?"
219,"templates/card.html","In one room, a child is about to die. In the other room, a demon is about to increase unemployment in your country by 1% for 3 years. You can either save the child or kill the demon, but not both. Which do you choose?"
220,"templates/card.html","The button will turn your body to clay for 5 minutes so you can mold yourself. No undos or takebacks. Do you use the button?"
221,"templates/card.html","Do you ever enjoy not getting what you want?"
222,"templates/card.html","What's the most likely way that you might hurt those around you?"
223,"templates/card.html","When did you last do something for the first time? What was it?"
224,"templates/card.html","Would you rather be twice your size or half your size?"
225,"templates/card.html","Is it okay to become aroused by fantasies of actions that would result in serious harm if done in real life?"
