id,@template,text
1,"templates/card.html","In what ways are you inhibited from expressing love?"
2,"templates/card.html","What difficult or painful experience would you recommend to everyone?"
3,"templates/card.html","What's the most intense emotional pain you've ever experienced?"
4,"templates/card.html","In what ways don't you trust yourself?"
5,"templates/card.html","How have you disappointed your parents?"
6,"templates/card.html","What about yourself have you been trying to fix for a long time?"
7,"templates/card.html","How would you raise a child differently from how your parents raised you?"
8,"templates/card.html","What was the last thing you cried about? When was it?"
9,"templates/card.html","What was the most difficult thing you've ever had to do?"
10,"templates/card.html","In what ways do you tend to fail at communication?"
11,"templates/card.html","What is currently your greatest insecurity?"
12,"templates/card.html","Which of your habits conflicts with your values?"
13,"templates/card.html","What aspect about the person to your left gives you the strongest negative feeling?"
14,"templates/card.html","What do you still owe someone an apology for?"
15,"templates/card.html","What's the most sick (mental or physical) you've ever been?"
16,"templates/card.html","Who do you hate most?"
17,"templates/card.html","What is your biggest obstacle toward peace?"
18,"templates/card.html","What about your appearance would you like to change?"
19,"templates/card.html","What have you done that you are most ashamed of?"
20,"templates/card.html","Are you afraid of death? Why or why not?"
21,"templates/card.html","How do you heal from painful experiences? How do you know when you're done healing?"
22,"templates/card.html","What was your biggest financial mistake?"
23,"templates/card.html","What's the most intense physical pain you've ever experienced?"
24,"templates/card.html","How often and in what ways does fear show up in you?"
25,"templates/card.html","Which have you planned in greater detail: killing yourself, or killing someone else?"
26,"templates/card.html","Who in this room would you most like to have sex with?"
27,"templates/card.html","If everyone in the room were arranged on a spectrum of attractiveness, which two people would you be between?"
28,"templates/card.html","What problems do you see in the relationships of those around you?"
29,"templates/card.html","You have to marry someone in this room right now. Who is it?"
30,"templates/card.html","Is there anything which arouses you that you've never admitted to anybody?"
31,"templates/card.html","What unusual trait do you find most attractive in a romantic partner?"
32,"templates/card.html","Out of all your past sexual experiences, what has made you the most uncomfortable?"
33,"templates/card.html","If you were invited to an all-nude party, where all the participants are required to be naked the whole time, would you go?"
34,"templates/card.html","When you introspect, away from society and your physical body, deep inside, do you feel a sense of gender?"
35,"templates/card.html","What were the conditions of your last break-up?"
36,"templates/card.html","If you had to choose one, would you rather double or halve your sex drive?"
